Code,Alt(m),BD(g/cm^3),Ergostel(ug/gDW),LOI(%),pH,TotalN(%),TotalC(%),%C(OM),OM:N,C:N
GWW1,135.31,0.962,2.121,11.32%,4.94,0.416,16.81,5.55%,27.224,13.348
GWW3,130.51,0.903,4.248,10.97%,4.42,0.438,14.87,5.38%,25.039,12.276
GWW5,131.33,1.042,4.200,12.89%,4.04,0.503,14.23,6.32%,25.634,12.568
GWW7,132.44,1.136,3.323,12.84%,5.01,0.455,16.32,6.29%,28.212,13.832
GWW9,124.44,1.201,4.900,12.23%,4.53,0.488,14.97,6.00%,25.071,12.292
WIW1,167.39,0.890,10.798,12.02%,5.84,0.416,13.27,5.90%,28.905,14.172
WIW2,170.51,1.052,6.309,12.84%,5.86,0.553,15.17,6.30%,23.224,11.387
WIW3,170.21,0.871,7.590,11.07%,5.35,0.540,14.83,5.43%,20.491,10.047
WIW4,169.61,0.722,4.705,12.11%,5.96,0.533,15.16,5.94%,22.725,11.142
WIW5,169.49,0.665,16.006,10.57%,5.51,0.454,11.83,5.18%,23.288,11.418
